01/22 11:16:30 PM | multilayer_inter2_capsnet_cifar10_model best accuracy=78.550 saved at: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter2_capsnet_cifar10_model_Epoch11_of_30.pt
01/22 11:20:18 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(0/1563), Loss=0.7423, Top 1 Acc=18.75, Top 5 Acc=59.38
01/22 11:20:33 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(32/1563), Loss=0.5418, Top 1 Acc=23.01, Top 5 Acc=68.94
01/22 11:20:50 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(64/1563), Loss=0.4933, Top 1 Acc=28.51, Top 5 Acc=75.10
01/22 11:21:06 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(96/1563), Loss=0.4696, Top 1 Acc=31.60, Top 5 Acc=79.19
01/22 11:21:22 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(128/1563), Loss=0.4561, Top 1 Acc=33.31, Top 5 Acc=81.23
01/22 11:21:38 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(160/1563), Loss=0.4464, Top 1 Acc=34.28, Top 5 Acc=82.71
01/22 11:21:53 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(192/1563), Loss=0.4378, Top 1 Acc=35.28, Top 5 Acc=83.73
01/22 11:22:09 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(224/1563), Loss=0.4317, Top 1 Acc=36.00, Top 5 Acc=84.49
01/22 11:22:25 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(256/1563), Loss=0.4259, Top 1 Acc=36.72, Top 5 Acc=85.18
01/22 11:22:41 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(288/1563), Loss=0.4201, Top 1 Acc=37.71, Top 5 Acc=85.81
01/22 11:22:57 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(320/1563), Loss=0.4156, Top 1 Acc=38.46, Top 5 Acc=86.39
01/22 11:23:13 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(352/1563), Loss=0.4116, Top 1 Acc=39.24, Top 5 Acc=86.76
01/22 11:23:28 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(384/1563), Loss=0.4068, Top 1 Acc=40.08, Top 5 Acc=87.18
01/22 11:23:44 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(416/1563), Loss=0.4031, Top 1 Acc=40.45, Top 5 Acc=87.60
01/22 11:24:00 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(448/1563), Loss=0.3998, Top 1 Acc=41.03, Top 5 Acc=87.84
01/22 11:24:16 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(480/1563), Loss=0.3963, Top 1 Acc=41.70, Top 5 Acc=88.14
01/22 11:24:32 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(512/1563), Loss=0.3925, Top 1 Acc=42.36, Top 5 Acc=88.51
01/22 11:24:48 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(544/1563), Loss=0.3897, Top 1 Acc=42.83, Top 5 Acc=88.76
01/22 11:25:04 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(576/1563), Loss=0.3866, Top 1 Acc=43.28, Top 5 Acc=88.96
01/22 11:25:19 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(608/1563), Loss=0.3844, Top 1 Acc=43.75, Top 5 Acc=89.09
01/22 11:25:35 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(640/1563), Loss=0.3825, Top 1 Acc=44.05, Top 5 Acc=89.21
01/22 11:25:51 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(672/1563), Loss=0.3801, Top 1 Acc=44.49, Top 5 Acc=89.42
01/22 11:26:07 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(704/1563), Loss=0.3779, Top 1 Acc=44.84, Top 5 Acc=89.53
01/22 11:26:23 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(736/1563), Loss=0.3754, Top 1 Acc=45.29, Top 5 Acc=89.73
01/22 11:26:39 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(768/1563), Loss=0.3732, Top 1 Acc=45.68, Top 5 Acc=89.95
01/22 11:26:55 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(800/1563), Loss=0.3712, Top 1 Acc=46.00, Top 5 Acc=90.07
01/22 11:27:10 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(832/1563), Loss=0.3690, Top 1 Acc=46.41, Top 5 Acc=90.25
01/22 11:27:26 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(864/1563), Loss=0.3667, Top 1 Acc=46.77, Top 5 Acc=90.38
01/22 11:27:42 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(896/1563), Loss=0.3647, Top 1 Acc=47.06, Top 5 Acc=90.50
01/22 11:27:58 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(928/1563), Loss=0.3628, Top 1 Acc=47.38, Top 5 Acc=90.63
01/22 11:28:14 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(960/1563), Loss=0.3606, Top 1 Acc=47.67, Top 5 Acc=90.78
01/22 11:28:30 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(992/1563), Loss=0.3594, Top 1 Acc=47.86, Top 5 Acc=90.85
01/22 11:28:45 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1024/1563), Loss=0.3575, Top 1 Acc=48.15, Top 5 Acc=91.01
01/22 11:29:01 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1056/1563), Loss=0.3555, Top 1 Acc=48.46, Top 5 Acc=91.13
01/22 11:29:17 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1088/1563), Loss=0.3540, Top 1 Acc=48.73, Top 5 Acc=91.23
01/22 11:29:33 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1120/1563), Loss=0.3523, Top 1 Acc=48.99, Top 5 Acc=91.30
01/22 11:29:48 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1152/1563), Loss=0.3506, Top 1 Acc=49.28, Top 5 Acc=91.39
01/22 11:30:04 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1184/1563), Loss=0.3491, Top 1 Acc=49.51, Top 5 Acc=91.49
01/22 11:30:20 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1216/1563), Loss=0.3479, Top 1 Acc=49.71, Top 5 Acc=91.55
01/22 11:30:36 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1248/1563), Loss=0.3467, Top 1 Acc=49.89, Top 5 Acc=91.64
01/22 11:30:52 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1280/1563), Loss=0.3455, Top 1 Acc=50.08, Top 5 Acc=91.74
01/22 11:31:08 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1312/1563), Loss=0.3441, Top 1 Acc=50.29, Top 5 Acc=91.79
01/22 11:31:24 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1344/1563), Loss=0.3422, Top 1 Acc=50.65, Top 5 Acc=91.90
01/22 11:31:40 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1376/1563), Loss=0.3405, Top 1 Acc=50.96, Top 5 Acc=91.99
01/22 11:31:55 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1408/1563), Loss=0.3388, Top 1 Acc=51.22, Top 5 Acc=92.07
01/22 11:32:11 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1440/1563), Loss=0.3375, Top 1 Acc=51.40, Top 5 Acc=92.15
01/22 11:32:27 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1472/1563), Loss=0.3361, Top 1 Acc=51.64, Top 5 Acc=92.22
01/22 11:32:43 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1504/1563), Loss=0.3349, Top 1 Acc=51.83, Top 5 Acc=92.30
01/22 11:32:59 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=1, Iteration=(1536/1563), Loss=0.3335, Top 1 Acc=52.01, Top 5 Acc=92.39
01/22 11:33:51 PM | multilayer_inter3_capsnet_cifar10_model Validation - Loss=0.2646, Top 1 Acc=62.990, Top 5 Acc=95.640
01/22 11:33:51 PM | Epoch 1 complete. Saved Checkpoint: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter3_capsnet_cifar10_model_Epoch1_of_15.pt
01/22 11:33:52 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(0/1563), Loss=0.2033, Top 1 Acc=75.00, Top 5 Acc=100.00
01/22 11:34:07 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(32/1563), Loss=0.2546, Top 1 Acc=65.72, Top 5 Acc=96.31
01/22 11:34:23 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(64/1563), Loss=0.2527, Top 1 Acc=65.48, Top 5 Acc=96.73
01/22 11:34:39 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(96/1563), Loss=0.2565, Top 1 Acc=64.50, Top 5 Acc=96.68
01/22 11:34:55 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(128/1563), Loss=0.2568, Top 1 Acc=64.53, Top 5 Acc=96.56
01/22 11:35:11 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(160/1563), Loss=0.2549, Top 1 Acc=65.02, Top 5 Acc=96.43
01/22 11:35:27 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(192/1563), Loss=0.2537, Top 1 Acc=65.11, Top 5 Acc=96.57
01/22 11:35:43 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(224/1563), Loss=0.2529, Top 1 Acc=65.25, Top 5 Acc=96.67
01/22 11:35:58 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(256/1563), Loss=0.2537, Top 1 Acc=64.97, Top 5 Acc=96.66
01/22 11:36:14 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(288/1563), Loss=0.2531, Top 1 Acc=65.17, Top 5 Acc=96.60
01/22 11:36:30 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(320/1563), Loss=0.2521, Top 1 Acc=65.35, Top 5 Acc=96.65
01/22 11:36:46 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(352/1563), Loss=0.2499, Top 1 Acc=65.69, Top 5 Acc=96.71
01/22 11:37:02 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(384/1563), Loss=0.2491, Top 1 Acc=65.97, Top 5 Acc=96.66
01/22 11:37:17 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(416/1563), Loss=0.2486, Top 1 Acc=66.00, Top 5 Acc=96.67
01/22 11:37:33 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(448/1563), Loss=0.2482, Top 1 Acc=66.00, Top 5 Acc=96.71
01/22 11:37:49 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(480/1563), Loss=0.2478, Top 1 Acc=66.00, Top 5 Acc=96.71
01/22 11:38:05 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(512/1563), Loss=0.2485, Top 1 Acc=65.91, Top 5 Acc=96.67
01/22 11:38:21 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(544/1563), Loss=0.2486, Top 1 Acc=65.92, Top 5 Acc=96.65
01/22 11:38:37 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(576/1563), Loss=0.2483, Top 1 Acc=65.96, Top 5 Acc=96.64
01/22 11:38:53 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(608/1563), Loss=0.2472, Top 1 Acc=66.16, Top 5 Acc=96.69
01/22 11:39:09 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(640/1563), Loss=0.2461, Top 1 Acc=66.32, Top 5 Acc=96.72
01/22 11:39:24 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(672/1563), Loss=0.2453, Top 1 Acc=66.33, Top 5 Acc=96.79
01/22 11:39:40 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(704/1563), Loss=0.2447, Top 1 Acc=66.44, Top 5 Acc=96.82
01/22 11:39:56 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(736/1563), Loss=0.2440, Top 1 Acc=66.54, Top 5 Acc=96.85
01/22 11:40:12 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(768/1563), Loss=0.2432, Top 1 Acc=66.66, Top 5 Acc=96.87
01/22 11:40:28 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(800/1563), Loss=0.2430, Top 1 Acc=66.68, Top 5 Acc=96.88
01/22 11:40:44 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(832/1563), Loss=0.2430, Top 1 Acc=66.66, Top 5 Acc=96.90
01/22 11:40:59 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(864/1563), Loss=0.2425, Top 1 Acc=66.74, Top 5 Acc=96.91
